Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Life expectancy at birth (years),Total unemployment rate (% of labour force),Education Index,Homeless People due to Natural Disaster,GTI,Prison Population
Ghana,2015,100th,Warning,4.1,4.9,4.6,6.3,7.1,7.6,5,7.9,5.2,7.1,5.5,6.6,7.49,5.3,0.794,0.768,3.71,0.768
Greece,2015,134th,Stable,4.5,3.7,5,6.5,4.2,3.8,6.5,3.9,3.4,3.6,1.6,5.9,8.09,0.56,0.914,0.924,2.61,0.924
Grenada,2015,120th,Warning,5.6,5.6,3.8,5.9,5.3,8.4,5.9,3.7,3.7,5.2,3.2,7.1,6.14,0.34,0.546,0.575,6.76,0.575
Guatemala,2015,64th,Warning,7,6,7.9,6,8,6.7,6.6,7.4,6.6,7.3,5.5,5.4,8.09,1.52,0.83,0.865,0.01,0.865
Guinea,2015,10th,Alert,8.9,9.6,8.7,9.2,7.6,7.2,9.9,9.8,8.2,9,8.7,8.1,7.34,2.24,0.725,0.751,5.52,0.751
Guinea Bissau,2015,17th,Warning,8.8,9.6,5.7,8.7,8.4,8.5,9,9.2,7.2,8.2,7.8,8.8,7.18,1.38,0.508,0.637,7.86,0.637
Guyana,2015,107th,Warning,5.8,5.1,6.5,6.2,6.2,9.1,5.9,6.1,3.9,5.6,3.6,6.5,5.88,0.78,0.33,0.414,4.66,0.414
Haiti,2015,11th,Warning,7.5,9.1,6.7,9.1,9.3,9.3,9.4,9.1,7.4,9.5,8.2,9.9,5.52,0.66,0.353,0.421,2.58,0.421
Honduras,2015,76th,Warning,6.7,6.6,6.4,6.3,7.7,6.9,6.7,6.7,6.3,6.8,3.7,7.4,6.64,1.54,0.572,0.638,7.19,0.638
Hungary,2015,139th,Stable,2.4,5.3,4.7,5.9,4.3,3.3,6.6,3.3,4.5,2.3,2.5,4,6.28,0.98,0.422,0.49,0,0.49
Iceland,2015,171st,Sustainable,1,1.8,1.3,3.6,1.6,2.8,0.9,1.7,1.1,1.6,1.4,4.6,7.31,0.7,0.518,0.623,0,0.623
India,2015,69th,Warning,7.9,7.3,8.3,5.6,7.5,5.5,5.2,7.5,5.9,8,5.4,5.3,8.4,1.18,0.822,0.916,0.16,0.916
Indonesia,2015,88th,Warning,6.2,7,7.3,5.2,6.3,6.3,5.6,6,6.8,7.1,5.9,5.3,7.52,2.12,0.835,0.834,0.54,0.834
Iran,2015,44th,Warning,8,9.4,8.5,6.9,6.1,6.2,8.9,5,9.3,5.4,6.5,7,8.26,3.2,0.906,0.919,2.38,0.919
Iraq,2015,12th,Warning,10,9.6,10,6.9,7.8,8.1,9.2,7.5,8.9,8.2,8.9,9.4,6.8,2.26,0.525,0.615,0.24,0.615
Ireland,2015,169th,Sustainable,1.8,1.3,1.9,4.1,2.7,2.8,1.5,1.9,1.2,2.2,1.4,1.9,6.89,1.18,0.622,0.686,0,0.686
Israel and West Bank,2015,68th,Warning,7,8.1,9.7,3.9,6.9,3.8,6.3,5.3,7.4,6,7.4,7.6,7.54,2.54,0.704,0.774,0.76,0.774
Italy,2015,147th,Stable,4.4,4.9,4.9,5.6,3.4,2,4.2,2.3,2.5,3.1,3.7,2.2,6.94,2.74,0.5,0.649,0.06,0.649
Jamaica,2015,117th,Warning,6.3,3.7,3.9,7.1,5.9,7.8,5.3,5.8,4.9,5.2,3,5.7,8.09,0.7,0.91,0.92,1.76,0.92
Japan,2015,157th,Sustainable,1.4,2.6,4.2,4.6,1.9,2.6,1.7,2.1,3.4,4.8,3.1,3.6,8.24,2.38,0.87,0.898,0,0.898
Jordan,2015,81st,Warning,5.5,6.9,7.7,6.3,5.9,3.6,6.1,4.7,7.6,7,8.8,6.8,8.31,1.02,0.804,0.881,5.21,0.881
Kazakhstan,2015,110th,Warning,5.7,7.6,7,6.5,4.7,3.6,8,4.5,7.5,5,3.5,4.7,7.57,1.84,0.677,0.729,2.95,0.729
Kenya,2015,21st,Warning,8.4,8.9,9,7.5,8.3,7.5,8.1,7.9,6.5,9,8.3,8,8.35,1.34,0.842,0.902,1.18,0.902
Kuwait,2015,128th,Stable,3.9,7.5,4.7,3,4.7,3.1,7.3,2.5,7.3,5.1,4,4.4,7.4,0.7,0.701,0.741,3.29,0.741
Kyrgyz Republic,2015,62nd,Warning,6.8,8,8.4,7,6.4,6.4,7.8,5.6,7.2,5.9,5.8,6.9,6.94,0.7,0.805,0.793,2.85,0.793
Laos,2015,55th,Warning,6,8.3,6.3,5.5,6.9,7.4,9,7.7,8.1,7.1,5.6,6.6,6.16,1.64,0.518,0.55,4.67,0.55
Latvia,2015,140th,Stable,3.5,4.3,7.4,4,4.6,4.4,3.9,3.4,3,3.4,2.9,3.8,6.6,0.3,0.59,0.586,2.11,0.586
Lebanon,2015,40th,Warning,8.8,9.3,8.6,5.9,5.7,5.4,7.8,5.4,7.2,5.7,9.1,9.2,7.03,2.16,0.867,0.899,5.98,0.899
Lesotho,2015,66th,Warning,5.6,7.3,4.4,8.3,7.3,7.4,6.4,8,4.8,7.7,4.9,7.8,8.19,1.34,0.611,0.799,0,0.799
Liberia,2015,21st,Alert,6.9,8.3,6.2,8.6,8.3,6.6,7.3,9.7,6.7,9.5,9.2,10,7.44,5.28,0.721,0.662,0.58,0.662
Libya,2015,25th,Warning,9.3,9.1,7.8,8,6.1,6.4,9.8,7.5,9,5.4,7.4,9.5,7.06,0.8,0.474,0.582,0,0.582
Lithuania,2015,148th,Stable,3,3,4.3,5,5,4.2,3.2,4,2.4,3.3,2.6,3,6.62,4.12,0.835,0.828,0,0.828
Luxembourg,2015,174th,Sustainable,2,3.4,3.1,1.5,1.5,2.1,1.3,1.3,1,1.7,1.7,1.6,7.42,2.14,0.656,0.763,0,0.763
Macedonia,2015,118th,Warning,5.4,7,7,5.7,5.6,5.5,5.5,4.4,3.9,3.3,5.3,5.9,7.93,1.18,0.503,0.495,0.28,0.495
Madagascar,2015,56th,Warning,7.1,7.6,4.6,7.6,8.5,6.1,7.2,9.1,6.1,8.5,3.9,7.3,4.98,0.36,0.423,0.427,0,0.427
