Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Life expectancy at birth (years),Total unemployment rate (% of labour force),Education Index,Homeless People due to Natural Disaster,GTI,Prison Population
Germany,2016,165th,28.6,1.8,2.3,4.8,2.4,3,1.8,1,1.3,1.3,2.2,5.7,1,6.05,1.26,3.58,4.52,0,4.52
Ghana,2016,102nd,71.2,3.8,4.9,4.6,6.6,6.8,7.9,4.7,7.4,5.3,7.1,5.2,6.9,7.5,4.98,7.94,7.69,0,7.69
Greece,2016,130th,55.9,4.2,3.8,5.1,7,3.9,3.5,6.2,4,3.2,3.9,5,6.1,8.11,0.54,9.14,9.26,0,9.26
Grenada,2016,122nd,63.0,5.9,5.6,3.8,6.2,5,8.6,5.6,4,3.4,4.9,3.2,6.8,6.15,0.36,5.51,5.79,0,5.79
Guatemala,2016,61st,83.2,7.3,6.8,8.2,5.7,8.3,7,6.7,7.7,6.9,7.4,5.8,5.4,8.11,1.52,8.3,8.66,0,8.66
Guinea,2016,12th,103.8,9,9.9,8.8,9.4,7.4,7.5,9.8,9.2,7.9,8.9,8.4,7.6,7.36,2.24,7.25,7.54,0,7.54
Guinea Bissau,2016,17th,99.8,9.1,9.6,5.4,8.5,8.7,8.3,8.9,9.5,7.5,8.3,7.5,8.5,7.21,1.38,5.08,6.4,0,6.4
Guyana,2016,104th,70.9,6.1,5.1,6.4,6.1,5.9,9.4,5.6,6.4,3.6,5.5,3.8,7,5.92,0.78,3.3,4.14,0,4.14
Haiti,2016,10th,105.1,7.9,9.6,6.7,8.9,9.5,9,9.4,9.4,7.7,9.2,7.9,9.9,5.55,0.66,3.53,4.24,2.622,4.24
Honduras,2016,68th,79.8,7,6.8,6.1,6.6,7.9,6.6,7,7,6.6,6.5,4,7.7,6.65,1.4,5.68,6.38,1.583,6.38
Hungary,2016,135th,52.7,2.4,5.3,5,5.6,4,3,6.3,3.4,4.9,2,6.7,4.1,6.31,0.88,4.25,4.93,1.045,4.93
Iceland,2016,170th,22.8,1.2,1.8,1.3,3.5,1.3,2.5,1,1.4,1,1.8,1.7,4.3,7.33,0.7,5.18,6.25,6,6.25
India,2016,70th,79.6,7.6,7.3,8.5,5.3,7.2,5.8,4.9,7.6,6.2,8.1,5.5,5.6,8.42,1.16,8.22,9.17,4.613,9.17
Indonesia,2016,86th,74.9,5.9,7,7.3,5.5,6,6.6,5.3,6.1,7.4,6.8,5.6,5.4,7.53,2.1,8.34,8.36,0,8.36
Iran,2016,47th,86.9,7.7,9.6,8.8,6.6,5.8,6.5,9.2,4.7,9.5,5.1,6.7,6.7,8.27,3.38,9.06,9.21,3.114,9.21
